ProductName,TotalSpend,TotalRev,ROI,ROI_actual,OptimalBudget,ExpectedRevenue
Inosita Plus,94517546.19,22337009475.32169,1003.558290050857,236.32659094238056,1588607.3973109152,375430170.5523365
Avsar,130083070.46,26156698155.577,1289.6092866632425,201.07688158867742,1351655.859995313,271786745.3089195
Xcept,8534703.15,1431097179.5493,546.1666131295353,167.67978386562862,1127157.7352604358,189001565.4309413
Ramipace,14442041.36,2190977028.9842,323.1861271316761,151.70826439069276,1019795.826120196,154711454.81356764
Gouric,57259835.38,8350250489.8451,746.1124299661628,145.8308504456811,980287.3508662188,142956138.05796447
Orslim,52513125.980000004,6825694303.8085,674.9899662569132,129.98072722633412,873741.4776568717,113569552.67365195
Lowplat Plus,85988952.15,10847738256.8094,934.9589625414699,126.15269735915022,848009.1360702318,106978639.90046239
Lowplat,47158066.89,5417987122.381721,700.0534729842304,114.88993251185663,772299.8750884818,88729480.52783097
Evopride,6475548.68,693720865.1461,239.404822708324,107.1292796066356,720132.107745693,77147233.92440417
Nise,108446515.11,11588453385.664,616.6646748545238,106.85869780056595,718313.2338856421,76758016.78593308
