Yr,Mo,Sec_Rev,Promo_Spend,Trips,Date
2024,1,1593310693.3529,87543565.47,115,2024-01-01
2024,2,1554310611.8726,50863353.03,179,2024-02-01
2024,3,1636650352.7471,45638836.72,70,2024-03-01
2024,4,1507910850.30388,41378096.1,43,2024-04-01
2024,5,1661325666.7771,54226097.6,196,2024-05-01
2024,6,1579401817.7309,28607847.7,117,2024-06-01
2024,7,1682568991.2238002,186768469.58,317,2024-07-01
2024,8,1747323440.7795,145976869.63,128,2024-08-01
2024,9,1764821803.476,65279753.33,226,2024-09-01
2024,10,1883304263.61056,135198762.19,201,2024-10-01
2024,11,1792425165.29958,97231955.2,134,2024-11-01
2024,12,1806605380.45003,55380331.46,259,2024-12-01
2025,1,1904045191.16458,108719392.6,120,2025-01-01
2025,2,1820265275.82687,40953667.59,179,2025-02-01
2025,3,1840195623.82745,47741346.18,47,2025-03-01
2025,4,1811444408.6693,22865367.63,119,2025-04-01
2025,5,1985366599.2986,39822052.08,148,2025-05-01
2025,6,1828787814.7511,30436542.34,260,2025-06-01
2025,7,2051560129.18,438423655.37,138,2025-07-01
2025,8,1996736572.4975,129519157.86,140,2025-08-01
2025,9,2055515148.4082,106078544.29,212,2025-09-01
2025,10,2136365781.8068001,201939698.98,216,2025-10-01
2025,11,1996590367.9642,87012113.69,230,2025-11-01
2025,12,2136017710.2472,120166149.03,216,2025-12-01
2026,1,2079459206.3538,108726747.64,213,2026-01-01
2026,2,2058926066.6276,101237697.62,97,2026-02-01
2026,3,212478706.3542,5918796.4,12,2026-03-01
