Material Name,SDP Name,City,Billing date,ShelfLifeDays,LineRevenue,TotalQty,TotalRev,Months,QtyPerMonth,RevPerMonth,DaysToSell,WillExpire,Risk
EVOCHECK GO BGM METER KIT,JADE E SERVICES PAKISTAN (PVT) LTD,JADE E SERVICES PAKISTAN (PVT) LTD,2025-04-29,38.0,,80609.0,968400.0,12,6717.416666666667,80700.0,223.9138888888889,1,🟡 WARNING
BEVEC 100MG/4ML 1X1'S,DYNAMIC PHARMA - MULTAN,Multan,2024-11-25,67.0,,1809.0,0.0,12,150.75,0.0,5.025,0,🟡 WARNING
EVOCHECK GM700S BGM METER KIT,HAZZ INTERNATIONAL - KARACHI,Karachi,2024-05-24,68.0,,39415.0,0.0,12,3284.5833333333335,0.0,109.48611111111111,0,🟡 WARNING
BEVEC 100MG/4ML 1X1'S,IDL PHARMA DISTRIBUTOR LAHORE,IDL PHARMA DISTRIBUTOR LAHORE,2024-11-22,70.0,0.0,1809.0,0.0,12,150.75,0.0,5.025,0,🟡 WARNING
BEVEC 100MG/4ML 1X1'S,AIM DISTRIBUTOR FAISALABAD,AIM DISTRIBUTOR FAISALABAD,2024-11-22,70.0,0.0,1809.0,0.0,12,150.75,0.0,5.025,0,🟡 WARNING
EVOCHECK GO BGM METER KIT,JADE E SERVICES PAKISTAN (PVT) LTD,JADE E SERVICES PAKISTAN (PVT) LTD,2025-03-27,71.0,,80609.0,968400.0,12,6717.416666666667,80700.0,223.9138888888889,0,🟡 WARNING
EVOCHECK GO BGM METER KIT,JADE E SERVICES PAKISTAN (PVT) LTD,JADE E SERVICES PAKISTAN (PVT) LTD,2025-03-27,71.0,,80609.0,968400.0,12,6717.416666666667,80700.0,223.9138888888889,0,🟡 WARNING
BEVEC 100MG/4ML 1X1'S,AIM DISTRIBUTOR FAISALABAD,AIM DISTRIBUTOR FAISALABAD,2024-11-20,72.0,,1809.0,0.0,12,150.75,0.0,5.025,0,🟡 WARNING
AD-D CHEWABLE TAB. 10000IU CP 1X8'S,SULTAN SUPPLIES SERVICES,SULTAN SUPPLIES SERVICES,2024-03-13,72.0,2691.0,34565.0,5256396.0,12,2880.4166666666665,438033.0,96.01388888888889,0,🟡 WARNING
SPS JAR 15G CP,CRITICARE PHARMACEUTICALS,CRITICARE PHARMACEUTICALS,2024-02-23,75.0,,1511.0,59892.0,11,137.36363636363637,5444.727272727273,4.578787878787879,0,🟡 WARNING
OXIVORT TAB. 20MG CP 2X7'S,PREMIER SALES PVT LTD-KORANGI,Karachi,2025-02-21,76.0,11434.45,3034.0,1479794.0,12,252.83333333333334,123316.16666666667,8.427777777777779,0,🟡 WARNING
EVOCHECK GM700S BGM METER KIT,JADE E SERVICES PAKISTAN (PVT) LTD,JADE E SERVICES PAKISTAN (PVT) LTD,2024-05-14,78.0,,39415.0,0.0,12,3284.5833333333335,0.0,109.48611111111111,0,🟡 WARNING
AD-D CHEWABLE TAB. 10000IU CP 1X8'S,ONE TIME BUYER,ONE TIME BUYER,2024-03-07,78.0,206.34,34565.0,5256396.0,12,2880.4166666666665,438033.0,96.01388888888889,0,🟡 WARNING
AD-D CHEWABLE TAB. 10000IU CP 1X8'S,SCITECH HEALTH (PVT) LTD.(QnE),SCITECH HEALTH (PVT) LTD.(QnE),2024-03-06,79.0,281.88,34565.0,5256396.0,12,2880.4166666666665,438033.0,96.01388888888889,0,🟡 WARNING
AD-D CHEWABLE TAB. 10000IU CP 1X8'S,ONE TIME BUYER,ONE TIME BUYER,2024-03-05,80.0,206.34,34565.0,5256396.0,12,2880.4166666666665,438033.0,96.01388888888889,0,🟡 WARNING
PARIDOPA TAB. 125/31.25/200MG CP 3X10'S,PREMIER SALES PVT LTD-ISLAMABAD,Islamabad,2024-06-21,82.0,,2562.0,53468.0,12,213.5,4455.666666666667,7.116666666666666,0,🟡 WARNING
BEVEC 100MG/4ML 1X1'S,AIM DISTRIBUTOR FAISALABAD,AIM DISTRIBUTOR FAISALABAD,2024-11-06,86.0,0.0,1809.0,0.0,12,150.75,0.0,5.025,0,🟡 WARNING
BEVEC 100MG/4ML 1X1'S,IDL PHARMA DISTRIBUTOR LAHORE,IDL PHARMA DISTRIBUTOR LAHORE,2024-11-06,86.0,,1809.0,0.0,12,150.75,0.0,5.025,0,🟡 WARNING
BEVEC 100MG/4ML 1X1'S,IDL PHARMA DISTRIBUTOR LAHORE,IDL PHARMA DISTRIBUTOR LAHORE,2024-11-06,86.0,0.0,1809.0,0.0,12,150.75,0.0,5.025,0,🟡 WARNING
BEVEC 400MG/16ML 1X1'S,JUNAID MEDICOSE DISTRIBUTORS,JUNAID MEDICOSE DISTRIBUTORS,2024-12-03,87.0,,2216.0,0.0,12,184.66666666666666,0.0,6.155555555555555,0,🟡 WARNING
