City,TotalTrips,TotalRev,AvgRevNextMo,RevPerTrip
Kohat,2,30024127.0,15729918.5,15012063.5
Mardan,3,31466451.0,18193424.0,10488817.0
Bannu,1,9821946.0,17744079.0,9821946.0
Swat,42,412134027.0,21981769.789473683,9812714.92857143
Jhelum,6,56307703.0,14273745.75,9384617.166666666
Sheikhupura,1,8911124.0,8292870.0,8911124.0
Sargodha,18,146501120.0,13918520.454545455,8138951.111111111
Gujrat,5,38787643.0,8240229.2,7757528.6
Layyah,1,7237764.0,12828854.0,7237764.0
Rawalpindi,37,241471166.0,22489969.545454547,6526247.72972973
Quetta,37,230332296.0,18039132.923076924,6225197.189189189
Umerkot,2,11947938.0,5348377.0,5973969.0
Muzaffarabad,12,69721023.0,9228073.875,5810085.25
Sialkot,31,167002748.0,12876747.461538462,5387185.419354838
Bahawalnagar,1,5245622.0,7633835.0,5245622.0
Sahiwal,33,171497892.0,11388082.266666668,5196905.818181818
Larkana,25,111645184.0,9718530.0,4465807.36
Abbottabad,34,133072745.0,9599973.357142856,3913904.2647058824
Gujranwala,57,215410677.0,11868241.833333334,3779134.6842105263
Peshawar,174,606515046.0,26400231.782608695,3485718.6551724137
Nawabshah,40,138585198.0,8529027.875,3464629.95
Bahawalpur,45,151254232.0,10410997.466666667,3361205.1555555556
Faisalabad,147,424060485.0,18261074.608695652,2884765.2040816327
Mirpurkhas,25,68905434.0,6582297.454545454,2756217.36
Sukkur,88,215660851.0,10865247.1,2450691.4886363638
Multan,229,366378791.0,17240409.95238095,1599907.384279476
Hyderabad,243,317107636.0,14311595.681818182,1304969.695473251
Islamabad,839,396773135.0,17223640.608695652,472911.9606674613
Lahore,1364,610544191.0,26428468.04347826,447613.043255132
