ProductName,TotalPromoSpend,TotalRevenue,Months,ROI,RevenuePerMonth
RAMIPACE,4314382.32,430005536.90830004,11,99.66792579205173,39091412.446209095
XCEPT,5249544.15,395034377.4728,8,75.25117728037395,49379297.1841
LOWPLAT,19916685.2,1168240798.6105602,14,58.65638718889628,83445771.32932572
EVOPRIDE,4699199.68,263305585.1486,16,56.032006102920064,16456599.0717875
LOWPLAT PLUS,34911405.75,1644289301.4639,15,47.09891412676501,109619286.76426001
TELSARTA-A,4727291.24,216824829.4593,10,45.86661122645365,21682482.94593
ORSLIM,32165097.87,1353010228.2395,22,42.064545667104476,61500464.91997728
OPT-D,16844002.3,701064993.3293,20,41.62104592738627,35053249.666465
AVSAR,98717724.19,3365673373.2759,23,34.093911715367916,146333624.9250391
INOSITA PLUS,78393392.53,2444898784.99043,33,31.187561937121206,74087841.96940696
AVSAR PLUS,29698797.59,925546992.2900001,19,31.16446009254074,48712999.59421053
TELSARTA,2859439.98,88342272.6288,11,30.89495609164701,8031115.693527273
EVOPRIDE PLUS,13900294.9,426002082.5409,18,30.646981636403986,23666782.363383334
ANPLAG,29444382.32,631021902.5467,19,21.430977756258805,33211679.081405263
INOSITA,7511932.859999999,159023477.15850002,11,21.169448678818465,14456679.74168182
ERLI,9923927.58,200613576.4659,11,20.215139101801064,18237597.860536363
NISE,78682274.6,1564007796.0117002,25,19.877511217903965,62560311.840468004
ONITA,12110478.65,231158918.70949998,17,19.087513003418735,13597583.453499999
SACVIN,54975639.32,1021504089.0869,23,18.581031557286128,44413221.26464783
ESTAR,55341624.22,989050895.5941,37,17.87173595885654,26731105.286327027
KLEVRA,6789060.74,121124477.6099,15,17.84112445721026,8074965.173993333
TREATAN,11586995.379999999,191351784.9812,16,16.51435757983361,11959486.561325
VOXAMINE,6778512.68,111433456.8036,14,16.439219348572497,7959532.628828571
DUZALTA,17864992.009999998,267898461.9922,15,14.995722463365379,17859897.466146667
KALSOB,47363152.339999996,699295898.3976,27,14.76455564818936,25899848.088800002
ZIBES,6443463.05,86239333.2606,15,13.384003693572822,5749288.88404
BYVAS,27512130.91,346187484.66736,12,12.583085105251849,28848957.055613335
ERLINA,26786419.82,331802141.3938,14,12.386953673669407,23700152.9567
FEMOVA,32087889.3,376789461.1702,26,11.742419629021844,14491902.352699999
AGOVIZ,2368545.0,27199326.4606,7,11.483559088216605,3885618.0658
XILICA,23599406.07,242610109.5403,19,10.28034810794287,12768953.1337
EVOKALM,11497069.15,114098646.21800001,13,9.924150644775413,8776818.939846154
PARIDOPA,14260862.6,141200825.73,17,9.90128224992505,8305930.925294117
ARBI,6034167.48,58591550.6403,14,9.709964271707618,4185110.7600214286
FERFER,47444804.24,396333937.5747,23,8.35357936287061,17231910.329334784
THEWRIL,7574621.4,60439368.6558,15,7.979193343683157,4029291.24372
DAPWIZ,12330452.17,95852912.1759,12,7.7736737351052065,7987742.681325
EVOFIX,883564.0,6821618.8595,2,7.720571299305993,3410809.42975
URITREAT,1116370.05,8321756.7,5,7.454299495046468,1664351.34
ERLINA PLUS XR,3763316.5,24881012.655,4,6.611458976410834,6220253.16375
SHEVIT,28975644.54,161348284.26619998,20,5.568410533317509,8067414.213309999
SPARLIV,11415510.790000001,58564845.2324,15,5.130286879821695,3904323.0154933333
RETZOLE,14354657.74,72338494.35,15,5.039374373129428,4822566.29
ZILERO,3701565.06,13324862.8412,10,3.599791608471688,1332486.28412
DIPOF,5900412.96,18022760.4903,9,3.0544913741596824,2002528.9433666666
DAPWIZ PLUS XR,3393377.9000000004,10081389.2385,4,2.9709008355656468,2520347.309625
GALVECTA,1890645.1600000001,3865433.7432999997,7,2.04450513775943,552204.8204714286
