Yr,Mo,Category,Revenue,Qty
2024.0,1.0,Export,169758.51,15804.0
2024.0,1.0,Herbal,8849027.66,33322.0
2024.0,1.0,Medical Device,1252252.44,19225.0
2024.0,1.0,Nutraceutical,67700588.21,198769.0
2024.0,1.0,Other,0.0,0.0
2024.0,1.0,Pharma,614092906.69,2006345.895
2024.0,2.0,Export,42803.99,7648.0
2024.0,2.0,Herbal,2764459.53,11118.0
2024.0,2.0,Medical Device,9036376.29,46474.0
2024.0,2.0,Nutraceutical,58779254.81,191430.0
2024.0,2.0,Other,0.0,0.0
2024.0,2.0,Pharma,515377888.84000003,1777465.767
2024.0,3.0,Export,115662.23000000001,16108.0
2024.0,3.0,Herbal,2122566.23,8098.0
2024.0,3.0,Medical Device,3437291.51,29837.0
2024.0,3.0,Nutraceutical,72529949.71,194831.0
2024.0,3.0,Other,0.0,0.0
2024.0,3.0,Pharma,509411873.2,1742238.253
2024.0,4.0,Export,18605.6,6903.0
2024.0,4.0,Herbal,3173599.7199999997,13188.0
2024.0,4.0,Medical Device,2607417.9,21158.0
2024.0,4.0,Nutraceutical,70077267.07,197439.0
2024.0,4.0,Other,0.0,0.0
2024.0,4.0,Pharma,508006383.85,1680690.0
2024.0,5.0,Export,17694.989999999998,14865.0
2024.0,5.0,Herbal,1352770.7299999997,5018.0
2024.0,5.0,Medical Device,1731894.17,33081.0
2024.0,5.0,Nutraceutical,72556308.51,204587.0
2024.0,5.0,Other,0.0,0.0
2024.0,5.0,Pharma,508528456.67,2016475.0
2024.0,6.0,Export,163072.52000000002,7714.0
2024.0,6.0,Herbal,624787.44,2041.0
2024.0,6.0,Medical Device,247622.97999999998,25688.0
2024.0,6.0,Nutraceutical,68904569.83,182071.0
2024.0,6.0,Other,0.0,1236.0
2024.0,6.0,Pharma,495552884.16,1764289.0
2024.0,7.0,Export,29963.9,2256.0
2024.0,7.0,Herbal,438036.37,1653.0
2024.0,7.0,Medical Device,2164736.68,22724.0
2024.0,7.0,Nutraceutical,66960391.16,165920.0
2024.0,7.0,Other,0.0,0.0
2024.0,7.0,Pharma,463912009.72,1524308.858
2024.0,8.0,Export,268577.06,10427.0
2024.0,8.0,Herbal,469305.37,1710.0
2024.0,8.0,Medical Device,2394768.8,30991.0
2024.0,8.0,Nutraceutical,109458859.28,265677.0
2024.0,8.0,Other,0.0,0.0
2024.0,8.0,Pharma,536105015.56,1706145.0
2024.0,9.0,Export,292314.26,21581.0
2024.0,9.0,Herbal,165878.27000000002,573.0
2024.0,9.0,Medical Device,1727243.91,25597.0
2024.0,9.0,Nutraceutical,83159478.69,246755.0
2024.0,9.0,Other,0.0,0.0
2024.0,9.0,Pharma,543866192.42,1791137.66
2024.0,10.0,Export,369198.58,17262.0
2024.0,10.0,Herbal,12256843.09,38500.0
2024.0,10.0,Medical Device,4081950.04,35641.0
2024.0,10.0,Nutraceutical,88596396.0,265299.0
2024.0,10.0,Other,0.0,0.0
2024.0,10.0,Pharma,654903225.05,2148378.136
2024.0,11.0,Export,563367.94,27305.0
2024.0,11.0,Herbal,6094642.41,18162.0
2024.0,11.0,Medical Device,3489981.23,34428.0
2024.0,11.0,Nutraceutical,82460786.24,222760.0
2024.0,11.0,Other,0.0,0.0
2024.0,11.0,Pharma,614525252.23,1958571.48
2024.0,12.0,Export,265984.55000000005,24977.0
2024.0,12.0,Herbal,5691175.07,17137.0
2024.0,12.0,Medical Device,4774953.89,39617.0
2024.0,12.0,Nutraceutical,91135971.94,265394.0
2024.0,12.0,Other,0.0,0.0
2024.0,12.0,Pharma,604412168.53,1912504.824
2025.0,1.0,Export,41527.71,22159.0
2025.0,1.0,Herbal,4595939.62,14386.0
2025.0,1.0,Medical Device,5698977.73,40068.0
2025.0,1.0,Nutraceutical,87956720.29,230387.0
2025.0,1.0,Other,19940.0,997.0
2025.0,1.0,Pharma,682303370.46,2094187.56
2025.0,2.0,Export,119324.65,23380.0
2025.0,2.0,Herbal,3930281.3899999997,12507.0
2025.0,2.0,Medical Device,4633886.8100000005,32159.0
2025.0,2.0,Nutraceutical,92222075.83,253870.0
2025.0,2.0,Other,0.0,0.0
2025.0,2.0,Pharma,670201900.93,2068301.95
2025.0,3.0,Export,119140.23,15553.0
2025.0,3.0,Herbal,2791774.7199999997,9212.0
2025.0,3.0,Medical Device,3036652.22,31280.0
2025.0,3.0,Nutraceutical,111076090.97,260458.0
2025.0,3.0,Other,0.0,0.0
2025.0,3.0,Pharma,636091817.6,2012884.02
2025.0,4.0,Export,7293.88,2826.0
2025.0,4.0,Herbal,1693019.93,5587.0
2025.0,4.0,Medical Device,1966864.85,31550.0
2025.0,4.0,Nutraceutical,88366806.05,205831.0
2025.0,4.0,Other,0.0,0.0
2025.0,4.0,Pharma,661523273.3,2025312.79
2025.0,5.0,Export,386203.49,15724.0
2025.0,5.0,Herbal,4158794.1999999997,13290.0
2025.0,5.0,Medical Device,4650149.89,37958.0
2025.0,5.0,Nutraceutical,119855302.66,304744.0
2025.0,5.0,Other,0.0,0.0
2025.0,5.0,Pharma,683961922.29,2091019.35
2025.0,6.0,Export,158334.40000000002,13867.0
2025.0,6.0,Herbal,3072147.98,10968.0
2025.0,6.0,Medical Device,5174975.85,46566.0
2025.0,6.0,Nutraceutical,98471313.53,244341.0
2025.0,6.0,Other,0.0,0.0
2025.0,6.0,Pharma,686334653.65,1982738.2
2025.0,7.0,Export,7557.1900000000005,8206.0
2025.0,7.0,Herbal,5960978.29,19331.0
2025.0,7.0,Medical Device,2036257.71,34543.0
2025.0,7.0,Nutraceutical,91622833.13,282829.0
2025.0,7.0,Other,0.0,0.0
2025.0,7.0,Pharma,673371263.52,2016144.12
2025.0,8.0,Export,77725.81,9933.0
2025.0,8.0,Herbal,2562606.7199999997,9101.0
2025.0,8.0,Medical Device,3323962.24,37759.0
2025.0,8.0,Nutraceutical,83455029.48,244221.0
2025.0,8.0,Other,0.0,0.0
2025.0,8.0,Pharma,552572822.57,1596406.1
2025.0,9.0,Export,22653.71,13723.0
2025.0,9.0,Herbal,8648306.23,28440.0
2025.0,9.0,Medical Device,3489853.67,39312.0
2025.0,9.0,Nutraceutical,124267356.13,364147.0
2025.0,9.0,Other,0.0,0.0
2025.0,9.0,Pharma,894923693.69,2604742.19
2025.0,10.0,Export,33717.87,10976.0
2025.0,10.0,Herbal,5944161.069999999,20236.0
2025.0,10.0,Medical Device,1265302.96,35249.0
2025.0,10.0,Nutraceutical,123865114.73,344412.0
2025.0,10.0,Other,0.0,0.0
2025.0,10.0,Pharma,804939753.39,2302243.084
2025.0,11.0,Export,6520.0,3100.0
2025.0,11.0,Herbal,2961579.9899999998,11165.0
2025.0,11.0,Medical Device,1812169.9400000002,32565.0
2025.0,11.0,Nutraceutical,140939128.32,300422.0
2025.0,11.0,Other,0.0,0.0
2025.0,11.0,Pharma,796359819.32,2236728.498
2025.0,12.0,Export,33792.23,11403.0
2025.0,12.0,Herbal,3644822.52,12768.0
2025.0,12.0,Medical Device,1375289.62,30216.0
2025.0,12.0,Nutraceutical,101331961.26,248225.0
2025.0,12.0,Other,0.0,0.0
2025.0,12.0,Pharma,666195564.95,1836566.854
